[1/1319] pred=6 | gold=18 | X
[175/1319] pred=360 | gold=95 | X
[176/1319] pred=320 | gold=15 | X
[177/1319] pred=100 | gold=100 | O
[178/1319] pred=500 | gold=350 | X
[179/1319] pred=66 | gold=122 | X
[180/1319] pred=20.8 | gold=130 | X
[181/1319] pred=1 | gold=20 | X
[182/1319] pred=2995 | gold=160 | X
[183/1319] pred=5 | gold=23 | X
[184/1319] pred=60 | gold=2 | X
[185/1319] pred=2.7777777777778 | gold=25 | X
[186/1319] pred=30 | gold=30 | O
[187/1319] pred=25 | gold=5 | X
[188/1319] pred=1 | gold=106 | X
[189/1319] pred=200 | gold=50 | X
[190/1319] pred=3.33 | gold=34 | X
[191/1319] pred=3 | gold=360 | X
[192/1319] pred=0.5 | gold=5 | X
[193/1319] pred=15 | gold=91 | X
[194/1319] pred=12 | gold=24 | X
[195/1319] pred=0 | gold=10 | X
[196/1319] pred=12 | gold=12 | O
[197/1319] pred=5 | gold=120 | X
[198/1319] pred=24451 | gold=6277 | X
[199/1319] pred=140 | gold=320 | X
[200/1319] pred=15000 | gold=7500 | X
[201/1319] pred=22 | gold=55 | X
[202/1319] pred=109000 | gold=114200 | X
[203/1319] pred=100 | gold=100 | O
[204/1319] pred=36 | gold=31 | X
[205/1319] pred=370 | gold=98 | X
[206/1319] pred=59 | gold=98 | X
[207/1319] pred=3000 | gold=860 | X
[208/1319] pred=8400 | gold=2600 | X
[209/1319] pred=36 | gold=76 | X
[210/1319] pred=7200 | gold=145 | X
[211/1319] pred=10 | gold=10 | O
[212/1319] pred=336 | gold=4 | X
[213/1319] pred=3 | gold=5 | X
[214/1319] pred=350 | gold=250 | X
[215/1319] pred=12 | gold=8 | X
[216/1319] pred=1 | gold=44 | X
[217/1319] pred=175 | gold=220 | X
[218/1319] pred=11 | gold=15 | X
[219/1319] pred=12 | gold=45 | X
[220/1319] pred=124 | gold=54 | X
[221/1319] pred=25 | gold=70 | X
[222/1319] pred=150 | gold=90 | X
[223/1319] pred=130 | gold=140 | X
[224/1319] pred=20000 | gold=20000 | O
[225/1319] pred=180 | gold=180 | O
[226/1319] pred=3 | gold=9 | X
[227/1319] pred=0.312 | gold=33 | X
[228/1319] pred=7.75 | gold=9 | X
[229/1319] pred=360 | gold=1 | X
[230/1319] pred=27 | gold=21 | X
[231/1319] pred=24000 | gold=276000 | X
[232/1319] pred=27 | gold=50 | X
[233/1319] pred=50 | gold=75 | X
[234/1319] pred=24 | gold=12 | X
[235/1319] pred=4 | gold=21 | X
[236/1319] pred=2.5 | gold=10 | X
[237/1319] pred=50 | gold=31 | X
[238/1319] pred=90 | gold=90 | O
[239/1319] pred=21 | gold=68 | X
[240/1319] pred=233 | gold=280 | X
[241/1319] pred=27 | gold=21 | X
[242/1319] pred=3 | gold=6 | X
[243/1319] pred=156250 | gold=3 | X
[244/1319] pred=555 | gold=250 | X
[245/1319] pred=18 | gold=20 | X
[246/1319] pred=32 | gold=7 | X
[247/1319] pred=188 | gold=27000 | X
[248/1319] pred=27 | gold=32 | X
[249/1319] pred=300 | gold=300 | O
[250/1319] pred=6 | gold=5600 | X
[251/1319] pred=22 | gold=17 | X
[252/1319] pred=79 | gold=70 | X
[253/1319] pred=75 | gold=73 | X
[254/1319] pred=12 | gold=18 | X
[255/1319] pred=111 | gold=84 | X
[256/1319] pred=2.5 | gold=192 | X
[257/1319] pred=120 | gold=45 | X
[258/1319] pred=8000 | gold=5600 | X
[259/1319] pred=6 | gold=6 | O
[260/1319] pred=44 | gold=168 | X
[261/1319] pred=33 | gold=11 | X
[262/1319] pred=15.5 | gold=62 | X
[263/1319] pred=30 | gold=270 | X
[264/1319] pred=10 | gold=8 | X
[265/1319] pred=395 | gold=400 | X
[266/1319] pred=86500 | gold=9500 | X
[267/1319] pred=0 | gold=118000 | X
[268/1319] pred=33 | gold=91 | X
[269/1319] pred=1375 | gold=1375 | O
[270/1319] pred=4 | gold=4 | O
[271/1319] pred=432 | gold=762 | X
[272/1319] pred=1536 | gold=20 | X
[273/1319] pred=5 | gold=5 | O
[274/1319] pred=585 | gold=315 | X
[275/1319] pred=2400 | gold=3200 | X
[276/1319] pred=120 | gold=138 | X
[277/1319] pred=18 | gold=9 | X
[278/1319] pred=11 | gold=4 | X
[279/1319] pred=30 | gold=40 | X
[280/1319] pred=6 | gold=6 | O
[281/1319] pred=10 | gold=7 | X
[282/1319] pred=55 | gold=2450 | X
[283/1319] pred=180 | gold=195 | X
[284/1319] pred=8 | gold=68 | X
[285/1319] pred=240 | gold=360 | X
[286/1319] pred=21 | gold=21 | O
[287/1319] pred=70 | gold=90 | X
[288/1319] pred=1 | gold=8 | X
[289/1319] pred=1.1 | gold=3 | X
[290/1319] pred=4 | gold=16 | X
[291/1319] pred=390 | gold=390 | O
[292/1319] pred=0.1875 | gold=2 | X
[293/1319] pred=50 | gold=75 | X
[294/1319] pred=21 | gold=83 | X
[295/1319] pred=3 | gold=3 | O
[296/1319] pred=100 | gold=370 | X
[297/1319] pred=42 | gold=3 | X
[298/1319] pred=1 | gold=55 | X
[299/1319] pred=300 | gold=500 | X
[300/1319] pred=9300 | gold=31800 | X
[301/1319] pred=46 | gold=78 | X
[302/1319] pred=16 | gold=8 | X
[303/1319] pred=25 | gold=15 | X
[304/1319] pred=6000 | gold=1300 | X
[305/1319] pred=12 | gold=3200 | X
[306/1319] pred=4 | gold=4 | O
[307/1319] pred=9 | gold=10 | X
[308/1319] pred=2 | gold=16 | X
[309/1319] pred=1 | gold=6 | X
[310/1319] pred=16 | gold=8 | X
[311/1319] pred=1000 | gold=2050 | X
[312/1319] pred=19 | gold=91 | X
[313/1319] pred=51 | gold=32 | X
[314/1319] pred=6 | gold=120000 | X
[315/1319] pred=52 | gold=30 | X
[316/1319] pred=12.5 | gold=14 | X
[317/1319] pred=180 | gold=156 | X
[318/1319] pred=2.4 | gold=12 | X
[319/1319] pred=123 | gold=123 | O
[320/1319] pred=15 | gold=15 | O
[321/1319] pred=4 | gold=8 | X
[322/1319] pred=0.5 | gold=1 | X
[323/1319] pred=24 | gold=9 | X
[324/1319] pred=15 | gold=75 | X
[325/1319] pred=2 | gold=14 | X
[326/1319] pred=300000 | gold=224000 | X
[327/1319] pred=10 | gold=14 | X
[328/1319] pred=29 | gold=31 | X
[329/1319] pred=0.6 | gold=2 | X
[330/1319] pred=14 | gold=14 | O
[331/1319] pred=20 | gold=31 | X
[332/1319] pred=6000 | gold=8400 | X
[333/1319] pred=35 | gold=44 | X
[334/1319] pred=50 | gold=100 | X
[335/1319] pred=2 | gold=6 | X
[336/1319] pred=290 | gold=310 | X
[337/1319] pred=12 | gold=72 | X
[338/1319] pred=3 | gold=1 | X
[339/1319] pred=198 | gold=60 | X
[340/1319] pred=60 | gold=160 | X
[341/1319] pred=1 | gold=4 | X
[342/1319] pred=90 | gold=260 | X
[343/1319] pred=111 | gold=87 | X
[344/1319] pred=225000 | gold=180000 | X
[345/1319] pred=7 | gold=2 | X
[346/1319] pred=90 | gold=310 | X
[347/1319] pred=31 | gold=9 | X
[348/1319] pred=24 | gold=36 | X
[349/1319] pred=120 | gold=10 | X
[350/1319] pred=16.25 | gold=2640 | X
[351/1319] pred=10 | gold=8 | X
[352/1319] pred=10 | gold=10 | O
[353/1319] pred=29 | gold=21 | X
[354/1319] pred=6 | gold=20 | X
[355/1319] pred=10 | gold=45 | X
[356/1319] pred=11 | gold=34 | X
[357/1319] pred=11 | gold=21 | X
[358/1319] pred=28 | gold=2 | X
[359/1319] pred=375 | gold=20 | X
[360/1319] pred=2 | gold=4 | X
[361/1319] pred=41 | gold=25 | X
[362/1319] pred=+125 | gold=20 | X
[363/1319] pred=10 | gold=23 | X
[364/1319] pred=185 | gold=6 | X
[365/1319] pred=53 | gold=49 | X
[366/1319] pred=18 | gold=18 | O
[367/1319] pred=75 | gold=9 | X
[368/1319] pred=39 | gold=19 | X
[369/1319] pred=16 | gold=18 | X
[370/1319] pred=108 | gold=1198 | X
[371/1319] pred=320 | gold=320 | O
[372/1319] pred=7 | gold=50 | X
[373/1319] pred=19 | gold=5 | X
[374/1319] pred=60000 | gold=240000 | X
[375/1319] pred=75 | gold=45 | X
[376/1319] pred=0 | gold=48 | X
[377/1319] pred=40 | gold=15 | X
[378/1319] pred=36 | gold=50 | X
[379/1319] pred=15 | gold=15 | O
[380/1319] pred=44 | gold=21 | X
[381/1319] pred=365 | gold=803 | X
[382/1319] pred=67 | gold=67 | O
[383/1319] pred=250 | gold=350 | X
[384/1319] pred=1 | gold=2 | X
[385/1319] pred=8 | gold=32 | X
[386/1319] pred=29 | gold=16 | X
[387/1319] pred=80 | gold=80 | O
[388/1319] pred=36 | gold=36 | O
[389/1319] pred=110 | gold=88 | X
[390/1319] pred=9 | gold=6 | X
[391/1319] pred=24 | gold=12 | X
[392/1319] pred=2 | gold=15 | X
[393/1319] pred=20 | gold=34 | X
[394/1319] pred=46 | gold=20 | X
[395/1319] pred=120 | gold=92 | X
[396/1319] pred=4 | gold=38 | X
[397/1319] pred=4 | gold=3 | X
[398/1319] pred=24 | gold=25 | X
[399/1319] pred=140 | gold=168 | X
[400/1319] pred=6 | gold=12 | X
[401/1319] pred=48 | gold=48 | O
[402/1319] pred=43800 | gold=14400 | X
[403/1319] pred=6 | gold=4 | X
[404/1319] pred=4500 | gold=81 | X
[405/1319] pred=35.5 | gold=22 | X
[406/1319] pred=200 | gold=50 | X
[407/1319] pred=60 | gold=200 | X
[408/1319] pred=3000 | gold=2000 | X
[409/1319] pred=3 | gold=20 | X
[410/1319] pred=900 | gold=168000 | X
[411/1319] pred=1 | gold=3 | X
[412/1319] pred=950 | gold=1110 | X
[413/1319] pred=12 | gold=5 | X
[414/1319] pred=5000 | gold=25 | X
[415/1319] pred=80 | gold=56 | X
[416/1319] pred=105 | gold=350 | X
[417/1319] pred=60 | gold=56 | X
[418/1319] pred=3200 | gold=3140 | X
[419/1319] pred=3.75 | gold=40 | X
[420/1319] pred=1000 | gold=3000 | X
[421/1319] pred=13000 | gold=17000 | X
[422/1319] pred=15 | gold=12 | X
[423/1319] pred=6.33 | gold=284 | X
[424/1319] pred=4 | gold=8 | X
[425/1319] pred=100 | gold=570 | X
[426/1319] pred=30 | gold=150 | X
[427/1319] pred=4 | gold=11 | X
[428/1319] pred=33 | gold=150 | X
[429/1319] pred=22 | gold=26 | X
[430/1319] pred=10 | gold=13 | X
[431/1319] pred=125 | gold=132 | X
[432/1319] pred=19 | gold=1 | X
[433/1319] pred=10 | gold=30 | X
[434/1319] pred=11.25 | gold=6 | X
[435/1319] pred=19.17 | gold=5 | X
[436/1319] pred=5 | gold=5 | O
[437/1319] pred=7.5 | gold=15 | X
[438/1319] pred=9 | gold=7 | X
[439/1319] pred=512 | gold=2 | X
[440/1319] pred=1 | gold=17 | X
[441/1319] pred=144 | gold=98 | X
[442/1319] pred=10 | gold=80 | X
[443/1319] pred=43 | gold=49 | X
[444/1319] pred=5 | gold=59 | X
[445/1319] pred=5 | gold=20 | X
[446/1319] pred=1415 | gold=6 | X
[447/1319] pred=10 | gold=2 | X
[448/1319] pred=180 | gold=5 | X
[449/1319] pred=1340 | gold=539 | X
[450/1319] pred=64 | gold=112 | X
[451/1319] pred=0 | gold=4 | X
[452/1319] pred=1700 | gold=11050 | X
[453/1319] pred=75 | gold=50 | X
[454/1319] pred=6400 | gold=6400 | O
[455/1319] pred=120 | gold=150 | X
[456/1319] pred=160 | gold=1920 | X
[457/1319] pred=78 | gold=78 | O
[458/1319] pred=5 | gold=45 | X
[459/1319] pred=0.33 | gold=35 | X
[460/1319] pred=1 | gold=2 | X
[461/1319] pred=84 | gold=84 | O
[462/1319] pred=53 | gold=9 | X
[463/1319] pred=61 | gold=71 | X
[464/1319] pred=75 | gold=18 | X
[465/1319] pred=6 | gold=6 | O
[466/1319] pred=20 | gold=30 | X
[467/1319] pred=100 | gold=1 | X
[468/1319] pred=560 | gold=1200 | X
[469/1319] pred=70 | gold=120 | X
[470/1319] pred=4 | gold=4 | O
[471/1319] pred=9 | gold=3 | X
[472/1319] pred=180 | gold=80 | X
[473/1319] pred=4.5 | gold=6 | X
[474/1319] pred=120 | gold=10 | X
[475/1319] pred=16 | gold=80 | X
[476/1319] pred=60 | gold=20 | X
[477/1319] pred=5 | gold=5 | O
[478/1319] pred=10 | gold=20 | X
[479/1319] pred=600 | gold=621 | X
[480/1319] pred=14500 | gold=15400 | X
[481/1319] pred=4.5 | gold=11 | X
[482/1319] pred=48 | gold=84 | X
[483/1319] pred=114 | gold=26 | X
[484/1319] pred=40 | gold=40 | O
[485/1319] pred=120 | gold=240 | X
[486/1319] pred=40 | gold=220 | X
[487/1319] pred=60 | gold=6 | X
[488/1319] pred=20 | gold=4 | X
[489/1319] pred=3 | gold=6 | X
[490/1319] pred=-1 | gold=-10 | X
[491/1319] pred=8 | gold=4 | X
[492/1319] pred=768 | gold=16 | X
[493/1319] pred=11 | gold=32 | X
[494/1319] pred=2 | gold=25 | X
[495/1319] pred=360 | gold=21 | X
[496/1319] pred=200 | gold=200 | O
[497/1319] pred=26 | gold=38 | X
[498/1319] pred=112 | gold=112 | O
[499/1319] pred=20 | gold=40 | X
[500/1319] pred=6.7 | gold=10 | X
[501/1319] pred=14 | gold=16 | X
[502/1319] pred=273 | gold=273 | O
[503/1319] pred=60 | gold=26 | X
[504/1319] pred=10 | gold=18 | X
[505/1319] pred=1.75 | gold=2 | X
[506/1319] pred=3200 | gold=1600 | X
[507/1319] pred=288 | gold=144 | X
[508/1319] pred=15.60 | gold=2 | X
[509/1319] pred=0 | gold=120 | X
[510/1319] pred=64 | gold=4 | X
[511/1319] pred=116.67 | gold=525 | X
[512/1319] pred=190 | gold=110 | X
[513/1319] pred=480 | gold=120 | X
[514/1319] pred=387.5 | gold=300 | X
[515/1319] pred=360000 | gold=90000 | X
[516/1319] pred=36 | gold=160 | X
[517/1319] pred=62.5 | gold=375 | X
[518/1319] pred=72 | gold=18 | X
[519/1319] pred=0 | gold=32 | X
[520/1319] pred=60 | gold=280 | X
[521/1319] pred=19 | gold=63 | X
[522/1319] pred=72 | gold=39 | X
[523/1319] pred=38 | gold=29 | X
[524/1319] pred=78 | gold=74 | X
[525/1319] pred=22 | gold=9 | X
[526/1319] pred=2 | gold=12 | X
[527/1319] pred=7 | gold=21 | X
[528/1319] pred=5 | gold=48 | X
[529/1319] pred=72 | gold=172 | X
[530/1319] pred=44 | gold=11 | X
[531/1319] pred=62 | gold=36 | X
[532/1319] pred=179 | gold=66 | X
[533/1319] pred=0 | gold=25 | X
[534/1319] pred=700 | gold=300 | X
[535/1319] pred=240 | gold=300 | X
[536/1319] pred=1 | gold=16 | X
[537/1319] pred=6 | gold=8 | X
[538/1319] pred=58 | gold=188 | X
[539/1319] pred=1 | gold=18 | X
[540/1319] pred=85 | gold=35 | X
[541/1319] pred=16 | gold=39 | X
[542/1319] pred=1125 | gold=50 | X
[543/1319] pred=20 | gold=7 | X
[544/1319] pred=16 | gold=6 | X
[545/1319] pred=400 | gold=80 | X
[546/1319] pred=780 | gold=30 | X
[547/1319] pred=6 | gold=130 | X
[548/1319] pred=9 | gold=81 | X
[549/1319] pred=40 | gold=100 | X
[550/1319] pred=82 | gold=398 | X
[551/1319] pred=10 | gold=27 | X
[552/1319] pred=17 | gold=17 | O
[553/1319] pred=600 | gold=450 | X
[554/1319] pred=1680 | gold=92 | X
[555/1319] pred=20 | gold=54 | X
[556/1319] pred=0.48 | gold=2 | X
[557/1319] pred=160 | gold=160 | O
[558/1319] pred=14 | gold=70 | X
[559/1319] pred=3 | gold=3 | O
[560/1319] pred=18 | gold=16 | X
[561/1319] pred=5 | gold=45 | X
[562/1319] pred=540 | gold=180 | X
[563/1319] pred=50 | gold=82 | X
[564/1319] pred=15 | gold=12 | X
[565/1319] pred=70 | gold=240 | X
[566/1319] pred=5 | gold=5 | O
[567/1319] pred=41 | gold=10 | X
[568/1319] pred=12 | gold=9 | X
[569/1319] pred=140 | gold=175 | X
[570/1319] pred=69 | gold=21 | X
[571/1319] pred=105 | gold=23 | X
[572/1319] pred=108 | gold=308 | X
[573/1319] pred=20 | gold=100 | X
[574/1319] pred=2900 | gold=600 | X
[575/1319] pred=27 | gold=37 | X
[576/1319] pred=12 | gold=36 | X
[577/1319] pred=556 | gold=11232 | X
[578/1319] pred=24.29 | gold=40 | X
[579/1319] pred=12 | gold=48 | X
[580/1319] pred=7 | gold=7 | O
[581/1319] pred=468 | gold=500 | X
[582/1319] pred=35 | gold=215 | X
[583/1319] pred=52800 | gold=129200 | X
[584/1319] pred=84 | gold=120 | X
[585/1319] pred=90 | gold=2 | X
[586/1319] pred=9 | gold=40 | X
[587/1319] pred=550 | gold=800 | X
[588/1319] pred=-4500 | gold=30 | X
[589/1319] pred=54 | gold=52 | X
[590/1319] pred=2.5 | gold=15 | X
[591/1319] pred=480 | gold=319 | X
[592/1319] pred=220 | gold=220 | O
[593/1319] pred=1 | gold=1 | O
[594/1319] pred=5 | gold=3 | X
[595/1319] pred=420 | gold=42 | X
[596/1319] pred=13 | gold=13 | O
[597/1319] pred=300 | gold=260 | X
[598/1319] pred=150 | gold=90 | X
[599/1319] pred=16 | gold=69 | X
[600/1319] pred=8 | gold=48 | X
[601/1319] pred=8 | gold=10 | X
[602/1319] pred=80 | gold=104 | X
[603/1319] pred=133 | gold=5 | X
[604/1319] pred=105 | gold=1800 | X
[605/1319] pred=28 | gold=12 | X
[606/1319] pred=13 | gold=42 | X
[607/1319] pred=36 | gold=6 | X
[608/1319] pred=60 | gold=10 | X
[609/1319] pred=10 | gold=8 | X
[610/1319] pred=12 | gold=7 | X
[611/1319] pred=9362 | gold=65960 | X
[612/1319] pred=2 | gold=1450000 | X
[613/1319] pred=15 | gold=30 | X
[614/1319] pred=30000 | gold=93000 | X
[615/1319] pred=3 | gold=312 | X
[616/1319] pred=26 | gold=33 | X
[617/1319] pred=16 | gold=10 | X
[618/1319] pred=2000 | gold=5 | X
[619/1319] pred=36 | gold=36 | O
[620/1319] pred=44 | gold=76 | X
[621/1319] pred=245 | gold=1509 | X
[622/1319] pred=2900 | gold=3000 | X
[623/1319] pred=19 | gold=7 | X
[624/1319] pred=12 | gold=8 | X
[625/1319] pred=85 | gold=85 | O
[626/1319] pred=160 | gold=160 | O
[627/1319] pred=72 | gold=72 | O
[628/1319] pred=46 | gold=54 | X
[629/1319] pred=1408 | gold=4 | X
[630/1319] pred=750 | gold=17500 | X
[631/1319] pred=55 | gold=10 | X
[632/1319] pred=6200 | gold=4800 | X
[633/1319] pred=11 | gold=45 | X
[634/1319] pred=16 | gold=5 | X
[635/1319] pred=9 | gold=14 | X
[636/1319] pred=0.6 | gold=4 | X
[637/1319] pred=250 | gold=1050 | X
[638/1319] pred=17 | gold=17 | O
[639/1319] pred=42 | gold=12 | X
[640/1319] pred=24 | gold=216 | X
[641/1319] pred=30000 | gold=43500 | X
[642/1319] pred=200 | gold=262500 | X
[643/1319] pred=+600 | gold=10800 | X
[644/1319] pred=420 | gold=840 | X
[645/1319] pred=31 | gold=29 | X
[646/1319] pred=16 | gold=48 | X
[647/1319] pred=79 | gold=79 | O
[648/1319] pred=16 | gold=10 | X
[649/1319] pred=75 | gold=54 | X
[650/1319] pred=154000 | gold=162000 | X
[651/1319] pred=9 | gold=142 | X
[652/1319] pred=700 | gold=2100 | X
[653/1319] pred=76 | gold=75 | X
[654/1319] pred=18 | gold=80 | X
[655/1319] pred=32 | gold=2 | X
[656/1319] pred=10 | gold=10 | O
[657/1319] pred=10 | gold=10 | O
[658/1319] pred=20000 | gold=330000 | X
[659/1319] pred=65 | gold=120 | X
[660/1319] pred=3 | gold=3 | O
[661/1319] pred=50 | gold=15 | X
[662/1319] pred=7 | gold=44 | X
[663/1319] pred=1 | gold=7 | X
[664/1319] pred=103 | gold=193 | X
[665/1319] pred=216 | gold=32 | X
[666/1319] pred=180 | gold=360 | X
[667/1319] pred=90 | gold=120 | X
[668/1319] pred=56 | gold=53 | X
[669/1319] pred=3 | gold=3 | O
[670/1319] pred=132 | gold=132 | O
[671/1319] pred=4 | gold=4 | O
[672/1319] pred=2.5 | gold=4 | X
[673/1319] pred=39 | gold=2 | X
[674/1319] pred=21 | gold=9 | X
[675/1319] pred=10372 | gold=12 | X
[676/1319] pred=68 | gold=33 | X
[677/1319] pred=0 | gold=240 | X
[678/1319] pred=64 | gold=36 | X
[679/1319] pred=2.4 | gold=120 | X
[680/1319] pred=96 | gold=576 | X
[681/1319] pred=640 | gold=20 | X
[682/1319] pred=169 | gold=298 | X
[683/1319] pred=230 | gold=80 | X
[684/1319] pred=1 | gold=50 | X
[685/1319] pred=5 | gold=11 | X
[686/1319] pred=20 | gold=14 | X
